"","mu","sigma","nu","x","X3","X10","X25","X50","X75","X90","X97"
"1",9.17107280595536,0.215686618626008,0.0962037196995221,4,107.34371879492,145.660837936784,184.573331624933,229.504409070807,278.964878906483,330.806680934837,393.535817347403
"2",9.27575150941808,0.214788357659693,0.104218363884429,4.31313131313131,112.7652208935,151.287394788024,190.730110266536,236.65146339968,287.602619681335,341.377093991463,406.859052759006
"3",9.38036950892782,0.213893837642948,0.112233008069336,4.62626262626263,118.342123347331,157.094269467038,197.086501945947,244.023447902536,296.509043834672,352.288443968884,420.652893100701
"4",9.48486610053157,0.213003042995996,0.120247652254245,4.93939393939394,124.073433215546,163.08476722564,203.648580688484,251.628315763162,305.693057039553,363.550403511982,434.929296205925
"5",9.58918385520081,0.212115958203944,0.128262296439156,5.25252525252525,129.96050019696,169.263024380546,210.42267557716,259.474048721107,315.163508225861,375.172484460034,449.69985910877
"6",9.69328905247388,0.211232567816515,0.136276940624069,5.56565656565657,136.008095170554,175.633292001968,217.413119508463,267.565353653853,324.925793125985,387.161808516318,464.976737771998
"7",9.79715840742285,0.210352856447777,0.144291584808985,5.87878787878788,142.22232932947,182.19971674774,224.623163922194,275.905214589707,334.983468744154,399.524230500885,480.772602707961
"8",9.90076770858118,0.209476808775875,0.152306228993904,6.19191919191919,148.609196694593,188.966227910952,232.055742017779,284.496174501963,345.33955249908,412.265086150516,497.100026239472
"9",10.0040789212162,0.208604409542764,0.160320873178826,6.5050505050505,155.172908727004,195.934924633895,239.711745016785,293.338330654558,355.994030557817,425.386000622362,513.967217319215
"10",10.1070437250391,0.207735643553944,0.168335517363753,6.81818181818182,161.915948656355,203.106170291043,247.590149202172,302.429508988679,366.944089548023,438.885177152821,531.378382227532
"11",10.2096122577762,0.206870495678194,0.176350161548687,7.13131313131313,168.839862522221,210.479434725929,255.688959055571,311.766393122286,378.185532981121,452.759203678092,549.336138872655
"12",10.3116895513653,0.20600895084731,0.184364805733632,7.44444444444444,175.940388089883,218.048495192947,264.000186334843,321.33874799229,389.705398997374,466.992956571386,567.826543745341
"13",10.4131249486622,0.205150994055842,0.192379449918599,7.75757575757576,183.2055687225,225.799465714721,272.507751050495,331.127026122838,401.478916049566,481.555316177353,586.81225683645
"14",10.5137643675017,0.204296610360829,0.200394094103599,8.07070707070707,190.62089161716,233.715774093179,281.192668262886,341.108365348525,413.477191299449,496.409574272154,606.247528038008
"15",10.6134565821649,0.203445784881546,0.208408738288641,8.38383838383838,198.168383039825,241.778559968172,290.034509453529,351.258795424366,425.669409052481,511.514383485651,626.075427384218
"16",10.7120562976091,0.202598502799241,0.216423382473734,8.6969696969697,205.825528047562,249.966990184979,299.012891264955,361.555546493646,438.024991191662,526.824012522967,646.222379478911
"17",10.8094189568622,0.201754749356876,0.224438026658888,9.01010101010101,213.56752630535,258.258098192442,308.10542942634,371.97379161555,450.510480148443,542.287227428802,666.602005341738
"18",10.9053995494553,0.20091450985887,0.232452670844113,9.32323232323232,221.367299276538,266.627165719119,317.288437733455,382.487602309871,463.090566658002,557.847974053822,687.114282581342
"19",10.9998514180665,0.200077769670846,0.240467315029418,9.63636363636364,229.195091695625,275.049166288091,326.539942684829,393.074165049741,475.732463713257,573.447961082875,707.641937832851
"20",11.0926275316586,0.199244514219374,0.248481959214813,9.94949494949495,237.019262512956,283.497713542973,335.837090452943,403.71005772641,488.402077050028,589.024340781802,728.052417538713
"21",11.1835834855951,0.198414728991715,0.256496603400308,10.2626262626263,244.80181845788,291.938880566434,345.148225219939,414.361446624972,501.052549651131,604.49735716801,748.186086862433
"22",11.2725920432288,0.197588399535577,0.26451124758591,10.5757575757576,252.471525779563,300.29735441043,354.391621874009,424.93399817227,513.564672306811,619.701929257607,767.780369094074
"23",11.359532865054,0.196765511458851,0.272525891771626,10.8888888888889,259.93771750028,308.474814097875,363.458527636648,435.301240693591,525.780927859614,634.427473240328,786.516656368185
"24",11.4442858802424,0.195946050429372,0.280540535957466,11.2020202020202,267.103299059511,316.366280573036,372.233055187706,445.328727696607,537.534610464067,648.45270145907,804.063376845053
"25",11.5267341632864,0.19513000217466,0.288555180143436,11.5151515151515,273.884906086337,323.881962575271,380.616428806251,454.902353074431,548.685019517465,661.592065342963,820.144521638726
"26",11.6067629375379,0.194317352481675,0.296569824329543,11.8282828282828,280.209280086764,330.943280706054,388.52247168161,463.922952616052,559.110797510794,673.687711855658,834.530848149003
"27",11.6842571549836,0.193508087196573,0.304584468515794,12.1414141414141,286.001790380292,337.470372504501,395.863645710437,472.289911812695,568.689705344071,684.583745589567,847.005413409444
