"","mu","sigma","nu","tau","x","X3","X10","X25","X50","X75","X90","X97"
"61",14.1290885202131,0.168153442068338,0.481778336628547,37.0451909587701,22.7878787878788,9.90758789865839,11.2047756383342,12.5586904980848,14.1290885202131,15.7955470187178,17.4058678027112,19.1298048331723
"62",14.1482754522049,0.168253129308896,0.501128003792491,35.9102065586474,23.1010101010101,9.9020267075473,11.2106855373183,12.5726369622074,14.148275452205,15.8166828148271,17.4264495922638,19.1481729829903
"63",14.1640973912035,0.168268864007525,0.519809962857638,34.7432919672473,23.4141414141414,9.89588816894043,11.2152876129546,12.5843529969961,14.1640973912039,15.8333165871237,17.4416067667955,19.160408778065
"64",14.1765950570074,0.168171665435238,0.537970780686411,33.5528767510304,23.7272727272727,9.88982127065596,11.2190730511143,12.594134807041,14.176595057009,15.8451893972633,17.4507654659406,19.1655748530156
"65",14.1858121754142,0.167932244212681,0.555760082447429,32.3468997936721,24.040404040404,9.88449487529524,11.2225459072039,12.6022856220448,14.1858121754195,15.852044377786,17.4533558926241,19.1627426916154
"66",14.1918094175966,0.167527647259821,0.573307602219435,31.132157995566,24.3535353535354,9.88046399835796,11.2261287845905,12.6090683611946,14.1918094176139,15.8537130420075,17.4489753429771,19.1512448946332
"67",14.1946894138838,0.166951518515297,0.590688757343562,29.9133412476537,24.6666666666667,9.87795586463612,11.2300154812404,12.6146344516411,14.1946894139349,15.8502514586655,17.4376409775977,19.1310633148947
"68",14.1945636840288,0.166200798979396,0.607969778734184,28.6946654133547,24.979797979798,9.87712833007006,11.2343517976672,12.6191120788026,14.1945636841681,15.8417625166343,17.4194569442313,19.1023135530559
"69",14.1915511093711,0.165274258062845,0.625213015103526,27.480056068998,25.2929292929293,9.8780992338871,11.2392569397873,12.6226177868903,14.1915511097254,15.8283784981744,17.394579735601,19.0651899618752
"70",14.1857985311932,0.164177102767898,0.642461961436662,26.2727493339368,25.6060606060606,9.88085438050886,11.2447639913874,12.6252328469835,14.1857985320398,15.8103319938682,17.3633415220599,19.0201498363854
"71",14.1774621528815,0.162916759882785,0.659754397417989,25.0757299799137,25.9191919191919,9.88532546056705,11.2508719923475,12.6270245863389,14.1774621547972,15.7878902917475,17.3261347749103,18.9677402148975
"72",14.1667059535488,0.161501832315481,0.67712559512726,23.8918549398638,26.2323232323232,9.89141112818591,11.2575613365543,12.6280545276247,14.1667059576799,15.7613421910919,17.283386788297,18.9085582411578
"73",14.1537542603973,0.159948328282492,0.694588415301158,22.7235839469039,26.5454545454545,9.89886711814119,11.2647319987173,12.6283684486383,14.15375426894,15.7311203993026,17.2357538105532,18.8435277577297
"74",14.138862999548,0.15827588415203,0.712143921183545,21.5731697747877,26.8585858585859,9.90736655741381,11.2722406595926,12.6280049747911,14.1388630165867,15.697729161139,17.1840032950946,18.7737300830121
"75",14.1222877073516,0.156503685493927,0.729793179543346,20.442842186795,27.1717171717172,9.91656979407232,11.2799423286647,12.6270045157063,14.1222877403,15.6616659003655,17.1288880945577,18.7002247054856
"76",14.1042744109138,0.154648234733375,0.747539274638181,19.3352043238337,27.4848484848485,9.92617822523345,11.2877240720906,12.6254228368713,14.1042744729518,15.623387930981,17.071088803468,18.6239636455792
"77",14.0850604784343,0.152723647253291,0.765387068817837,18.2530406537569,27.7979797979798,9.93592905333684,11.2955016322426,12.623329459617,14.085060592571,15.5833165898488,17.0112218379846,18.5458048237204
"78",14.0648820253027,0.150743516921024,0.783341477532693,17.1988670235313,28.1111111111111,9.94554928030504,11.3031916420556,12.6207965914789,14.0648822311212,15.5418648444885,16.9498884630085,18.4665874673887
"79",14.0439706185506,0.148720161427047,0.801407014571408,16.1751104563966,28.4242424242424,9.95477518558279,11.3107237175065,12.617903794699,14.0439709832555,15.4994259631465,16.887655678627,18.3871044765025
"80",14.0225515628683,0.146664276642926,0.819587605803752,15.1841354290849,28.7373737373737,9.96336189480152,11.3180463422674,12.6147400940985,14.022552199156,15.456368228164,16.8250476804882,18.3080906596386
"81",14.0008483628548,0.144586021940585,0.837887116837727,14.2279237328298,29.050505050505,9.97105162974914,11.3251090288347,12.6113972179623,14.0008494576853,15.4130513508757,16.7625752879157,18.2302693601263
"82",13.9790397571879,0.142495205775178,0.856304416443856,13.3082668417985,29.3636363636364,9.97754300967998,11.3318266766577,12.6079298796206,13.9790416174019,15.3697811360526,16.7006887208795,18.1543036294881
"83",13.9571954634556,0.140401427296301,0.874825935537116,12.4270005680007,29.6767676767677,9.98245189642765,11.3380292193942,12.6042975500705,13.9571985864993,15.3267402957783,16.6397033366059,18.0807153238665
"84",13.9353682830796,0.138313825426223,0.893436202258944,11.5855014585253,29.989898989899,9.98536423888004,11.3435331289595,12.6004476720334,13.9353734661126,15.284088280649,16.5799078311131,18.0100062664217
"85",13.9136030739149,0.13624081818755,0.912118764412101,10.7846944464904,30.3030303030303,9.98584575430217,11.3481525787697,12.59632610066,13.9136115793247,15.2419689396697,16.5215712246628,17.9426665139409
"86",13.8919109114395,0.13418939384065,0.930852849737264,10.0252375221335,30.6161616161616,9.98345032083419,11.3516948324005,12.5918615136685,13.8919247114919,15.2004751469958,16.4648979805377,17.8791188352011
"87",13.870293590471,0.132165867877429,0.949616496352281,9.30737023594885,30.9292929292929,9.97770770053438,11.3539635075788,12.5869796946999,13.8703157245414,15.1596838474654,16.4100743979055,17.8197814866755
"88",13.8487469225704,0.130176118531386,0.968386697802456,8.6309360053711,31.2424242424242,9.9681161280528,11.3547565598339,12.5816043943022,13.8487820083719,15.1196623943347,16.3572787047641,17.7650857095385
"89",13.8272188382289,0.128225266081803,0.987132054545681,7.99561504601696,31.5555555555556,9.95413866422819,11.3538450681361,12.5756244645233,13.8272737767075,15.0804191146824,16.3066232768085,17.7154075809494
"90",13.8056345534138,0.126317916396313,1.00581712459999,7.40080400311852,31.8686868686869,9.93520855400219,11.3509874548661,12.568914054886,13.8057194817584,15.0419338056324,16.2581910752353,17.6711154014701
"91",13.783921929285,0.124458134716874,1.0244076532548,6.84554785404348,32.1818181818182,9.91074035410161,11.3459483872164,12.5613556257429,13.7840514814141,15.0041858962311,16.2120678800543,17.6326126159858
"92",13.7620468216476,0.122645934733781,1.04288900670766,6.32843816184538,32.4949494949495,9.88023840676622,11.3385878867545,12.5529048928625,13.7622417556816,14.967159752543,16.168320323363,17.6002939134368
