"","mu","sigma","nu","tau","x","X3","X10","X25","X50","X75","X90","X97"
"1",7.45531076746083,0.180105814798763,-1.73526808408638,17166172.8094685,4,5.71130007190218,6.13958829907587,6.67663943096346,7.45415332957678,8.54188746697551,10.0016868189556,12.3719683789268
"2",7.498520892823,0.180335006852242,-1.7195529510211,15873716.6203756,4.09090909090909,5.74008596908203,6.17225801923612,6.71391917725422,7.49745291097298,8.5919834090826,10.0573020837946,12.4265946463982
"3",7.54198145670669,0.180564490568165,-1.70383781795533,14678570.590004,4.18181818181818,5.76899118531614,6.20508626119403,6.75139955921577,7.54099822385713,8.64235522008166,10.1131797755584,12.4813757256902
"4",7.58569390817833,0.18079426632384,-1.68812268488856,13573408.1512556,4.27272727272727,5.79801584636214,6.23807363261297,6.78908165454619,7.58479079900373,8.69300487137935,10.1693231016263,12.5363228542469
"5",7.62965970466067,0.181024334497082,-1.67240755182032,12551454.3606881,4.36363636363636,5.8271600716772,6.27122074255158,6.82696654957261,7.62883218386281,8.74393436517126,10.2257353350261,12.5914473729244
"6",7.67388031198072,0.181254695466206,-1.6566924187501,11606444.3662856,4.45454545454546,5.85642397419964,6.30452820134541,6.86505533916504,7.67312394234688,8.7951457335367,10.2824198101141,12.6467606979047
"7",7.718357204418,0.181485349610036,-1.6409772856774,10732585.0022291,4.54545454545454,5.88580766011809,6.33799662047413,6.90334912662756,7.71766765457094,8.8466410374152,10.3393799179472,12.7022742921938
"8",7.76309186475297,0.1817162973079,-1.62526215260175,9924519.27522882,4.63636363636364,5.91531122862804,6.37162661241386,6.94184902356677,7.76246491654561,8.89842236546601,10.3966191013624,12.7579996368331
"9",7.80808578431586,0.181947538939631,-1.60954701952264,9177293.52471297,4.72727272727273,5.94493477167555,6.4054187904745,6.98055614973715,7.80751733982318,8.95049183281305,10.4541408497799,12.8139482019599
"10",7.85334046303568,0.182179074885572,-1.59383188643957,8486327.05555376,4.81818181818182,5.97467837368784,6.43937376862208,7.0194716328634,7.85282655109734,9.00285157967881,10.5119486937512,12.8701314178583
"11",7.89885740948955,0.182410905526572,-1.57811675335207,7847384.05717237,4.90909090909091,6.00454211129082,6.473492161286,7.05859660844014,7.89839419175772,9.05550376991209,10.5700461992751,12.9265606461476
"12",7.94463814095232,0.182643031243989,-1.56240162025962,7256547.63687929,5,6.03452605301353,6.5077745831515,7.09793221950944,7.94422191740057,9.10845058941595,10.6284369619113,12.98324715126
"13",7.99068418344642,0.18287545241969,-1.54668648716173,6710195.80826689,5.09090909090909,6.06463025897954,6.54222164893771,7.13747961641696,7.99031139729813,9.16169424448338,10.6871246007211,13.0402020723663
"14",8.03699707179208,0.183108169436052,-1.53097135405793,6204979.28745723,5.18181818181818,6.09485478058567,6.5768339731618,7.17723995654788,8.0366643138292,9.21523696004998,10.7461127520718,13.0974363959093
"15",8.08357834965775,0.183341182675963,-1.5152562209477,5737800.96108965,5.27272727272727,6.12519966016815,6.61161216988987,7.21721440404391,8.08328236187435,9.26908097787407,10.8054050633426,13.1549609289119
"16",8.13042956961089,0.183574492522822,-1.49954108783055,5305796.90018156,5.36363636363636,6.15566493065681,6.64655685247548,7.25740412950318,8.13016724817989,9.3232285546566,10.8650051865744,13.2127862732262
"17",8.17755229316892,0.183808099360541,-1.48382595470599,4906318.80347245,5.45454545454546,6.18625061521784,6.68166863328703,7.29781030966486,8.17732069069506,9.37768196011405,10.9249167721096,13.2709228008951
"18",8.22494809085065,0.184042003573543,-1.46811082157354,4536917.76262369,5.54545454545454,6.21695672688565,6.71694812342498,7.33843412708108,8.22474441788783,9.43244347501964,10.985143462269,13.3293806307947
"19",8.27261854222783,0.184276205546767,-1.45239568843268,4195329.24975083,5.63636363636364,6.24778326818477,6.75239593243058,7.3792767697785,8.27244016804513,9.48751538922884,11.0456888851186,13.3881696067297
"20",8.32056523597704,0.184510705665664,-1.43668055528294,3879459.23525766,5.72727272727273,6.27873023074258,6.7880126679875,7.4203394309126,8.32040968856389,9.54289999970671,11.1065566483776,13.4472992771456
"21",8.368789769932,0.1847455043162,-1.42096542212381,3587371.3508707,5.81818181818182,6.30979759489394,6.82379893561846,7.46162330841799,8.36865473523985,9.59859960857571,11.1677503335241,13.5067788766233
"22",8.41729375113593,0.18498060188486,-1.4052502889548,3317275.01918016,5.90909090909091,6.34098532927872,6.8597553383783,7.50312960465781,8.41717707156148,9.6546165212029,11.2292734901537,13.5666173093114
"23",8.4660787958945,0.18521599875864,-1.38953515577542,3067514.476918,6,6.37229339043349,6.89588247654607,7.54485952607631,8.46597846801681,9.71095304434696,11.2911296306461,13.626823134442
"24",8.51514652982881,0.185451695325057,-1.37382002258517,2836558.6246832,6.09090909090909,6.40372172237859,6.93218094731783,7.58681428285804,8.51506070142099,9.76761148438474,11.3533222251967,13.687404554069
"25",8.56449858792887,0.185687691972146,-1.35810488938356,2622991.64088991,6.18181818181818,6.43527025620182,6.96865134450285,7.62899508859778,8.56442555427292,9.82459414563791,11.4158546972652,13.748369403148
"26",8.61413661460728,0.185923989088458,-1.3423897561701,2425504.30239981,6.27272727272727,6.46693890964014,7.00529425822495,7.67140315998507,8.61407481414885,9.88190332881932,11.478730419494,13.8097251420633
"27",8.66406226375325,0.186160587063064,-1.32667462294428,2242885.9586316,6.36363636363636,6.49872758666061,7.04211027463174,7.7140397165072,8.66401027314108,9.93954132961825,11.5419527101412,13.8714788516864
"28",8.71427719878692,0.186397486285557,-1.31095948970563,2074017.10994682,6.45454545454546,6.53063617704193,7.07909997561364,7.75690598017461,8.71423372734935,9.99751043744253,11.6055248300746,13.9336372310263
"29",8.764783092714,0.186634687146049,-1.29524435645364,1917862.54481552,6.54545454545454,6.56266455595768,7.11626393853492,7.80000317527217,8.76474697643208,10.0558129343337,11.6694499803589,13.996206597506
"30",8.8155816281807,0.186872190035174,-1.27952922318782,1773464.99369073,6.63636363636364,6.59481258356255,7.15360273597875,7.84333252813983,8.81555182322403,10.1144510940696,11.7337313004688,14.0591928898701
"31",8.86667449752901,0.187109995344087,-1.26381408990767,1639939.26068826,6.72727272727273,6.62708010458226,7.19111693550779,7.88689526698533,8.86665007342588,10.1734271814665,11.7983718671482,14.1226016736977
"32",8.91806340285223,0.187348103464467,-1.24809895661271,1516466.79709755,6.81818181818182,6.65946694790836,7.22880709944216,7.93069262173184,8.91804353537048,10.232743451889,11.863374693927,14.1864381494575
