1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.533805	0.000000	7.966892	0.014735	548.0
1	-0.526281	0.000000	7.966892	0.009326	2.1
2	-0.505878	0.000000	7.966892	0.010611	2.1
3	-0.474783	0.307487	7.851922	0.013528	2.0
4	-0.510660	1.202389	7.535438	0.012683	2.0
5	-0.530786	0.617418	7.739349	0.012019	2.1
6	-0.501929	0.566185	7.757734	0.016934	2.0
7	-0.512044	0.000000	7.966892	0.018100	2.1
8	-0.530605	0.440280	7.803290	0.020011	2.0
9	-0.505680	1.439987	7.455652	0.013159	2.0
10	-0.521378	0.791261	7.677607	0.016930	2.0
11	-0.508476	1.630634	7.392843	0.024401	2.0
12	-0.517995	2.630592	7.080006	0.016017	2.0
13	-0.475827	3.630102	6.792693	0.015541	2.1
14	-0.529709	2.984486	6.975540	0.025027	2.0
15	-0.510346	3.960328	6.702826	0.010785	2.2
16	-0.514843	3.931811	6.710493	0.016589	2.2
17	-0.510515	4.624123	6.529189	0.031293	2.3
18	-0.491098	5.624056	6.283969	0.013258	2.2
19	-0.511944	5.026728	6.428189	0.012257	2.2
20	-0.529401	4.407157	6.584945	0.009894	2.2
21	-0.496511	5.274400	6.367595	0.023212	2.2
22	-0.517165	6.230215	6.144084	0.018484	2.2
23	-0.514531	5.589768	6.292072	0.020809	2.3
24	-0.514731	6.280174	6.132832	0.019441	2.2
25	-0.513131	5.658745	6.275792	0.011611	2.2
26	-0.512015	6.601241	6.061493	0.019016	2.3
27	-0.529750	5.952770	6.207330	0.011802	2.3
28	-0.505965	6.903839	5.995760	0.012305	2.4
29	-0.501965	7.676153	5.834281	0.022592	2.3
30	-0.489350	8.670811	5.638698	0.011726	2.3
31	-0.475990	8.710236	5.631215	0.016422	2.3
32	-0.495678	8.330458	5.704130	0.015947	2.3
33	-0.502208	8.776069	5.618765	0.021954	2.3
34	-0.509149	9.774804	5.436419	0.012088	2.4
35	-0.539932	10.667737	5.283129	0.015094	2.4
36	-0.507996	11.632264	5.126973	0.017070	2.4
37	-0.490669	11.770123	5.105405	0.015049	2.3
38	-0.541472	12.769159	4.954365	0.006707	2.4
39	-0.511005	13.680670	4.824149	0.015857	2.3
40	-0.535301	14.448149	4.719703	0.011254	2.4
41	-0.527094	14.983402	4.649497	0.015360	2.4
42	-0.523613	14.365936	4.730675	0.022362	2.4
43	-0.509871	14.867866	4.664474	0.009778	2.5
44	-0.534921	15.797643	4.546615	0.013514	2.4
45	-0.488064	15.384754	4.598210	0.015956	2.3
46	-0.499760	16.381591	4.475592	0.018482	2.9
47	-0.500831	16.251368	4.491237	0.015549	2.1
48	-0.503432	17.244005	4.374666	0.023900	3.0
49	-0.498301	18.216562	4.266175	0.018015	3.3
50	-0.519814	19.216538	4.160098	0.007573	2.0
51	-0.501060	20.052632	4.075372	0.020046	2.0
52	-0.506053	20.953454	3.987866	0.019331	2.0
53	-0.506822	21.953402	3.895029	0.010571	2.1
54	-0.505265	21.360319	3.949563	0.018898	2.0
55	-0.521864	22.347823	3.859588	0.016486	2.1
56	-0.507863	23.340017	3.773222	0.017544	2.0
57	-0.513805	24.339905	3.690011	0.016458	2.0
58	-0.502963	25.335781	3.610703	0.012757	2.0
59	-0.523142	24.826592	3.650822	0.020819	2.0
60	-0.486297	25.817105	3.573581	0.012149	2.0
61	-0.517322	26.816589	3.498885	0.022994	2.1
62	-0.502537	27.442093	3.453706	0.004776	2.0
63	-0.514962	26.811865	3.499230	0.025588	2.0
64	-0.514139	27.423390	3.455040	0.009268	2.0
65	-0.514031	26.800687	3.500049	0.014325	2.0
66	-0.503653	26.447150	3.526128	0.011227	2.0
67	-0.499707	27.382459	3.457963	0.009004	2.1
68	-0.522860	27.449867	3.453152	0.023005	2.0
69	-0.515328	27.308637	3.463247	0.006228	2.0
70	-0.491982	28.295209	3.393935	0.016294	2.1
71	-0.530715	28.541438	3.377067	0.009247	2.1
