1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.622588	0.000000	12.428605	0.006770	125.5
1	-0.599280	0.000000	12.428605	0.006733	2.1
2	-0.617506	0.000000	12.428605	0.018157	1.9
3	-0.633379	0.000000	12.428605	0.027429	1.9
4	-0.618725	1.000000	11.863669	0.015143	1.9
5	-0.604623	2.000000	11.347857	0.010388	1.9
6	-0.570160	1.266610	11.721619	0.018556	1.8
7	-0.567108	1.484832	11.607857	0.016218	2.2
8	-0.608959	2.484832	11.113586	0.013842	1.8
9	-0.604598	3.484832	10.659690	0.003609	1.9
10	-0.594312	2.806113	10.963600	0.014340	1.9
11	-0.590092	2.062455	11.317126	0.009829	2.0
12	-0.637921	3.054984	10.850172	0.016908	2.0
13	-0.624290	4.050650	10.418919	0.014200	2.0
14	-0.623425	3.649151	10.588629	0.011035	1.9
15	-0.620588	2.956516	10.894769	0.012179	2.0
16	-0.625216	3.956468	10.458239	0.011317	2.0
17	-0.612307	4.956464	10.055326	0.009125	2.0
18	-0.615228	4.193815	10.359714	0.008734	2.0
19	-0.592477	3.475048	10.663951	0.012909	2.1
20	-0.597399	2.712789	11.006749	0.012296	2.1
21	-0.612181	1.949673	11.372742	0.013236	2.1
22	-0.587351	2.939708	10.902418	0.008450	2.1
23	-0.613991	3.702108	10.565928	0.012352	2.1
24	-0.581836	2.938982	10.902749	0.016668	2.1
25	-0.590105	2.177509	11.260947	0.011150	2.1
26	-0.612604	3.177504	10.795188	0.013539	2.2
27	-0.614876	4.177391	10.366472	0.019617	2.0
28	-0.617953	5.177391	9.970463	0.012719	2.2
29	-0.608976	4.414249	10.269857	0.009263	2.1
30	-0.576373	3.658216	10.584736	0.008552	2.3
31	-0.604010	2.930607	10.906565	0.005457	2.2
32	-0.613525	3.582878	10.617175	0.012402	2.2
33	-0.600086	4.548212	10.216007	0.008712	2.2
34	-0.608797	4.353504	10.294463	0.009729	2.3
35	-0.594970	3.601413	10.609176	0.008421	2.3
36	-0.604242	2.991579	10.878847	0.008022	2.3
37	-0.615240	3.452528	10.673772	0.022206	2.3
38	-0.606910	2.694332	11.015322	0.006008	2.2
39	-0.634910	1.939351	11.377859	0.030393	2.3
40	-0.590935	2.702031	11.011744	0.010404	2.2
41	-0.616482	3.462599	10.669378	0.010266	2.3
42	-0.605420	4.462540	10.250380	0.009963	2.3
43	-0.606431	3.713250	10.561165	0.006675	2.3
44	-0.597985	3.117823	10.821902	0.007871	2.2
45	-0.606255	2.728862	10.999293	0.013997	2.4
46	-0.607689	1.965813	11.364749	0.022930	2.4
47	-0.620330	2.965813	10.890543	0.009374	2.3
48	-0.606659	2.202673	11.248735	0.011694	2.3
49	-0.613121	1.774912	11.460009	0.009043	2.2
50	-0.599903	2.699451	11.012943	0.009801	2.1
51	-0.613734	3.237029	10.768676	0.011634	2.1
52	-0.599955	3.957980	10.457605	0.011466	2.6
53	-0.634340	4.957978	10.054740	0.013008	2.8
54	-0.612231	4.195051	10.359205	0.013064	2.7
55	-0.620453	4.938024	10.062475	0.013525	2.6
56	-0.627288	5.938024	9.688933	0.003348	2.7
57	-0.568810	6.881234	9.361161	0.011785	2.6
58	-0.639480	6.294431	9.562416	0.009416	2.2
59	-0.615181	5.531351	9.837445	0.010655	2.2
60	-0.571529	6.531283	9.480151	0.012114	2.3
61	-0.617962	7.510037	9.154696	0.010371	2.3
62	-0.607199	6.746904	9.406480	0.018752	2.2
63	-0.592882	6.133329	9.619192	0.024070	2.3
64	-0.582481	7.133329	9.277278	0.010757	2.2
65	-0.596748	6.422688	9.517692	0.007318	2.3
66	-0.654034	6.784917	9.393611	0.005039	2.3
67	-0.600361	7.648553	9.110432	0.012352	2.2
68	-0.601691	7.308302	9.219935	0.014981	2.3
69	-0.628056	6.545160	9.475375	0.018983	2.2
70	-0.606855	5.784815	9.744354	0.010851	2.2
71	-0.624372	6.784815	9.393646	0.010667	2.2
72	-0.607923	7.784367	9.067447	0.014509	2.2
73	-0.605698	8.771662	8.766750	0.004886	2.2
74	-0.595266	9.557042	8.541426	0.018489	2.3
75	-0.617978	10.425553	8.305366	0.019867	2.2
76	-0.614246	11.425071	8.049349	0.010515	2.3
77	-0.580968	11.941088	7.923257	0.010165	2.3
78	-0.604893	11.178179	8.111109	0.009824	2.5
79	-0.635690	11.847265	7.945888	0.014979	2.3
80	-0.611544	11.084127	8.134886	0.014572	2.2
81	-0.603364	12.075686	7.891014	0.015810	2.2
82	-0.629578	13.075686	7.659441	0.010293	2.3
83	-0.604359	14.046286	7.447314	0.011045	2.3
84	-0.617548	13.411644	7.584662	0.013603	2.3
85	-0.641550	14.409637	7.370895	0.019214	2.3
86	-0.602729	15.409637	7.168451	0.014486	2.2
87	-0.597684	16.409637	6.976831	0.007113	2.3
88	-0.588172	15.659779	7.119538	0.011635	2.2
89	-0.607196	16.425322	6.973907	0.010956	2.2
90	-0.596403	15.662456	7.119019	0.007993	2.3
91	-0.640158	14.900317	7.270151	0.018232	2.3
92	-0.601756	15.900311	7.073130	0.016478	2.4
93	-0.598039	16.900131	6.886538	0.015619	2.3
94	-0.589494	17.896588	6.710118	0.009186	2.3
95	-0.592275	18.601475	6.590681	0.008515	2.3
96	-0.621077	19.565231	6.434099	0.009743	2.5
97	-0.599526	20.443350	6.297771	0.007075	2.4
98	-0.577299	20.498804	6.289355	0.014613	2.5
99	-0.603733	19.742069	6.406172	0.011769	2.4
100	-0.590325	18.978927	6.528457	0.009724	2.4
101	-0.606100	18.219689	6.654839	0.008825	2.2
102	-0.621178	19.039024	6.518658	0.018805	2.3
103	-0.582737	18.680565	6.577545	0.012468	2.3
104	-0.611490	19.674913	6.416749	0.007957	2.4
105	-0.585290	20.673254	6.263027	0.013254	2.2
106	-0.595232	20.196258	6.335544	0.020210	2.3
107	-0.596190	21.196258	6.185399	0.012895	2.3
108	-0.607218	20.433116	6.299326	0.010653	2.3
109	-0.615528	20.164600	6.340416	0.007142	2.2
