1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
110	-0.571277	20.990388	6.215725	0.011223	2.3
111	-0.622039	20.685934	6.261122	0.012199	2.2
112	-0.608282	21.685895	6.114449	0.007631	2.3
113	-0.641767	22.682094	5.975005	0.012037	2.2
114	-0.619017	23.392576	5.879377	0.011251	2.2
115	-0.601525	24.391657	5.749971	0.006759	2.2
116	-0.613491	25.389872	5.626243	0.016706	2.3
117	-0.610555	26.368268	5.510033	0.012438	2.3
118	-0.622635	27.368250	5.396116	0.009206	2.4
119	-0.612459	28.364122	5.287255	0.006070	2.3
120	-0.607967	28.986173	5.221458	0.012039	2.3
121	-0.602645	29.967249	5.120950	0.017481	2.4
122	-0.612205	29.204107	5.198792	0.006773	2.4
123	-0.609442	28.445057	5.278601	0.007855	2.4
124	-0.623057	27.826359	5.345488	0.014756	2.7
125	-0.620800	27.063308	5.430353	0.011923	3.1
126	-0.591295	28.063308	5.319672	0.012289	3.1
127	-0.593762	27.300166	5.403723	0.012670	8.8
128	-0.618276	28.292957	5.294888	0.008697	27.7
129	-0.609778	27.529818	5.378151	0.010061	3.8
130	-0.583465	26.772980	5.463354	0.013987	3.6
131	-0.590401	26.010064	5.552018	0.013671	3.5
132	-0.633370	25.246923	5.643634	0.019257	3.6
133	-0.590991	26.246923	5.524184	0.013508	4.0
134	-0.592623	27.246858	5.409693	0.010813	3.6
135	-0.586731	28.244143	5.300137	0.009272	3.9
136	-0.613989	29.239719	5.195107	0.015279	4.2
137	-0.609592	28.479331	5.274944	0.007154	4.2
138	-0.573152	29.476640	5.170723	0.012568	4.1
139	-0.582726	30.449148	5.072984	0.004299	4.0
140	-0.570608	31.108523	5.008791	0.006398	4.1
141	-0.596738	31.682411	4.954229	0.010282	4.4
142	-0.594912	32.327152	4.894331	0.008783	12.8
143	-0.618491	33.271825	4.809138	0.007243	3.7
144	-0.573872	32.742843	4.856474	0.007000	3.5
145	-0.598193	32.393916	4.888211	0.006964	3.3
146	-0.609702	32.625979	4.867057	0.012862	3.5
147	-0.599888	33.583337	4.781692	0.019183	3.6
148	-0.611350	34.558711	4.697746	0.014221	3.6
149	-0.586936	33.795570	4.763172	0.015676	3.9
150	-0.583920	34.795570	4.677803	0.019857	4.0
151	-0.590501	35.795570	4.595441	0.012634	3.9
152	-0.586532	36.795569	4.515929	0.020338	4.0
153	-0.608608	37.795196	4.439150	0.008222	3.9
154	-0.594716	37.041729	4.496777	0.012186	4.1
155	-0.600670	38.040977	4.420671	0.010717	4.1
156	-0.593562	39.040968	4.347044	0.012198	4.0
157	-0.601031	39.459299	4.316965	0.014719	10.7
158	-0.579917	38.696165	4.372152	0.008149	3.4
159	-0.606441	39.695987	4.300131	0.012416	3.6
160	-0.585256	40.695279	4.230481	0.011666	3.5
161	-0.580960	41.695279	4.163004	0.006360	3.4
162	-0.597268	42.651166	4.100486	0.022109	3.4
163	-0.583081	43.392283	4.053292	0.008021	3.8
164	-0.596442	42.630051	4.101847	0.010376	3.6
165	-0.581043	43.629452	4.038417	0.013606	3.7
166	-0.594482	43.586253	4.041119	0.011430	4.0
167	-0.582309	42.823125	4.089438	0.010877	10.8
168	-0.617533	42.059997	4.138927	0.010326	3.8
169	-0.601453	43.059907	4.074322	0.012813	4.1
170	-0.617518	44.032487	4.013390	0.008181	5.8
171	-0.603281	44.879258	3.961804	0.015552	4.1
172	-0.573841	44.116145	4.008233	0.008853	3.0
173	-0.633070	43.578622	4.041596	0.004276	2.4
174	-0.600773	44.394511	3.991171	0.006999	2.5
175	-0.600274	44.439390	3.988434	0.009188	2.1
176	-0.581942	43.742040	4.031395	0.011325	2.1
177	-0.578007	44.656717	3.975232	0.007036	2.1
178	-0.619654	43.909985	4.020964	0.017453	2.1
179	-0.627088	43.660831	4.036458	0.007132	2.0
180	-0.606696	44.643070	3.976059	0.011468	2.0
181	-0.603096	44.706075	3.972246	0.010302	2.1
182	-0.600982	45.141808	3.946078	0.008701	2.0
183	-0.583465	45.653086	3.915808	0.017666	2.0
184	-0.604844	46.615017	3.860100	0.013290	2.0
185	-0.612463	47.614645	3.803863	0.017417	2.0
186	-0.626865	48.420879	3.759686	0.011868	2.0
187	-0.601117	49.420596	3.706312	0.007887	2.1
188	-0.602494	48.662897	3.746624	0.015760	2.1
189	-0.613869	49.662146	3.693643	0.014715	2.1
190	-0.605331	48.986856	3.729282	0.014797	1.9
191	-0.608652	48.223715	3.770394	0.011021	1.5
192	-0.583868	49.206464	3.717616	0.010148	1.5
193	-0.596019	48.539177	3.753290	0.012335	1.5
194	-0.632862	47.997706	3.782745	0.010135	1.6
195	-0.584980	48.884503	3.734744	0.015529	1.6
196	-0.614523	48.121362	3.775978	0.010926	1.5
197	-0.596277	47.358220	3.818132	0.016318	1.5
198	-0.606067	48.358219	3.763083	0.010594	1.6
199	-0.616317	49.358218	3.709598	0.007269	1.6
200	-0.588725	49.668127	3.693330	0.015962	1.5
201	-0.609193	48.917576	3.732977	0.010093	1.5
202	-0.624447	48.155957	3.774089	0.023122	1.5
203	-0.630366	47.392815	3.816201	0.005001	1.6
204	-0.584716	48.340497	3.764044	0.011538	1.6
205	-0.601082	48.299574	3.766267	0.014480	1.6
206	-0.599059	47.746865	3.796547	0.021184	1.6
207	-0.598803	48.746865	3.742114	0.015582	1.5
208	-0.587052	47.983723	3.783511	0.009327	1.5
209	-0.627421	47.220729	3.825827	0.009595	1.5
210	-0.626654	47.089163	3.833220	0.008121	1.5
211	-0.588706	46.986517	3.839007	0.011635	1.5
212	-0.608396	46.471055	3.868336	0.006571	1.5
213	-0.615927	47.367976	3.817587	0.007938	1.5
214	-0.624213	46.727714	3.853677	0.009173	1.5
215	-0.607949	47.622745	3.803414	0.006905	1.6
216	-0.601880	46.909871	3.843340	0.009599	1.6
217	-0.591833	46.163228	3.886066	0.004136	1.5
218	-0.608636	45.552017	3.921755	0.007477	1.6
219	-0.627668	45.601114	3.918864	0.010005	1.6
220	-0.586260	46.600138	3.860949	0.007697	1.7
221	-0.595455	46.287547	3.878886	0.009834	1.8
222	-0.612588	45.787510	3.907927	0.013309	1.7
223	-0.589770	46.764755	3.851570	0.008415	1.8
224	-0.571725	46.102908	3.889559	0.004491	1.8
225	-0.608919	47.056891	3.835037	0.007923	1.8
226	-0.589174	47.746515	3.796566	0.017968	1.7
227	-0.611142	48.697640	3.744757	0.020324	1.7
228	-0.600729	49.697640	3.691788	0.017516	1.8
229	-0.625048	48.934498	3.732074	0.024401	1.8
230	-0.617989	48.402311	3.760692	0.019330	1.8
231	-0.629059	47.639169	3.802504	0.012072	1.8
232	-0.603849	48.639169	3.747901	0.007806	1.9
233	-0.594074	47.877253	3.789360	0.005411	1.9
234	-0.625155	47.342096	3.819033	0.009790	1.9
235	-0.611989	46.628503	3.859330	0.015536	1.9
236	-0.584770	47.628492	3.803095	0.019095	1.8
237	-0.613776	46.865350	3.845861	0.016379	1.9
238	-0.636760	46.102209	3.889599	0.014581	1.9
239	-0.584175	45.966216	3.897498	0.012742	1.8
240	-0.623324	46.966216	3.840154	0.012784	1.9
241	-0.628552	47.966215	3.784472	0.019321	1.9
242	-0.610399	48.966215	3.730382	0.014371	1.9
243	-0.607284	49.966215	3.677816	0.019386	1.9
244	-0.633927	50.966215	3.626712	0.009672	1.9
245	-0.631513	51.342591	3.607843	0.015811	2.0
246	-0.572304	52.342064	3.558677	0.014716	1.9
247	-0.596625	53.007132	3.526697	0.018663	2.0
248	-0.613690	54.007132	3.479679	0.009435	2.0
249	-0.605236	53.904235	3.484459	0.022165	2.0
