1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-0.726866	22.559643	10.125240	0.007112	2.0
117	-0.731259	23.516803	9.907536	0.006836	2.0
118	-0.759967	22.962264	10.032510	0.003248	5.3
119	-0.708526	23.271315	9.962474	0.010419	3.0
120	-0.740907	22.808006	10.067836	0.004610	2.1
121	-0.717685	22.288973	10.188549	0.003933	2.1
122	-0.731414	22.798501	10.070021	0.011089	2.2
123	-0.729771	22.234026	10.201498	0.008952	2.2
124	-0.742927	23.233936	9.970893	0.006656	2.3
125	-0.720428	23.611869	9.886424	0.006145	2.3
126	-0.751270	23.077996	10.006168	0.006156	2.2
127	-0.717981	24.074156	9.785027	0.007669	2.2
128	-0.697353	25.054687	9.576698	0.009276	2.3
129	-0.711843	26.024839	9.379125	0.011674	3.5
130	-0.682508	25.459885	9.493175	0.003840	3.0
131	-0.710252	25.129752	9.561114	0.003717	2.3
132	-0.709922	24.595397	9.673166	0.004564	2.4
133	-0.710782	24.661390	9.659185	0.005755	2.8
134	-0.742015	25.412325	9.502903	0.007228	2.9
135	-0.742258	26.396668	9.305545	0.003130	1.8
136	-0.721046	25.938396	9.396398	0.007784	1.8
137	-0.728435	25.471648	9.490772	0.003939	1.8
138	-0.729875	25.326650	9.520478	0.003462	1.8
139	-0.697132	25.273372	9.531439	0.006173	1.7
140	-0.736267	24.728890	9.644928	0.006340	2.1
141	-0.741444	24.205543	9.756588	0.009336	2.0
142	-0.712180	23.908734	9.821070	0.006566	2.0
143	-0.702285	23.356665	9.943305	0.012781	2.1
144	-0.720744	24.189938	9.759957	0.005899	2.0
145	-0.706243	25.187275	9.549207	0.006822	2.1
146	-0.711950	26.058609	9.372394	0.005736	2.1
147	-0.705620	27.058139	9.177464	0.007353	2.1
148	-0.716189	26.794394	9.228108	0.010831	2.1
149	-0.735269	26.229465	9.338489	0.012874	2.0
150	-0.728373	27.229464	9.144863	0.006762	2.0
151	-0.710764	28.229171	8.959156	0.009152	2.0
152	-0.724936	27.664865	9.063045	0.004581	2.0
153	-0.722939	27.619091	9.071577	0.006836	2.0
154	-0.722679	27.776482	9.042305	0.011807	2.0
155	-0.721629	28.775978	8.860737	0.005154	2.0
156	-0.722962	29.763382	8.688386	0.006697	2.1
157	-0.735879	30.712968	8.528844	0.009068	2.0
158	-0.696235	31.580936	8.388056	0.006334	2.0
159	-0.683674	31.016594	8.479060	0.011719	2.0
160	-0.708081	32.016593	8.319128	0.008027	2.0
161	-0.731263	33.008823	8.166292	0.005397	1.9
162	-0.708809	33.931385	8.029141	0.003717	2.1
163	-0.730615	33.426784	8.103581	0.004019	2.1
164	-0.705716	33.883201	8.036190	0.007224	2.1
165	-0.720488	33.359879	8.113554	0.006835	2.0
166	-0.719799	32.831358	8.193214	0.010477	2.0
167	-0.749014	33.829711	8.044030	0.005072	1.9
168	-0.748782	33.762386	8.053919	0.004316	2.0
169	-0.772410	33.566685	8.082804	0.007602	1.9
170	-0.737382	34.295045	7.976336	0.007136	2.1
171	-0.719245	34.701882	7.918078	0.002813	2.0
172	-0.714166	34.838099	7.898762	0.009832	1.9
173	-0.715031	35.648933	7.785704	0.006151	2.3
174	-0.725869	35.091812	7.863034	0.004252	1.9
175	-0.704373	35.455414	7.812392	0.003331	1.9
176	-0.708016	34.978973	7.878884	0.006019	1.8
177	-0.728319	34.464825	7.951920	0.005511	1.9
178	-0.720356	33.902226	8.033405	0.008825	1.9
179	-0.693680	33.338724	8.116713	0.005796	2.0
180	-0.746413	34.338261	7.970107	0.014044	1.9
181	-0.715405	33.773308	8.052313	0.009177	1.9
182	-0.707998	34.773308	7.907938	0.005159	1.9
183	-0.731637	35.771619	7.768879	0.007871	1.9
184	-0.721153	35.207360	7.846870	0.006355	1.9
185	-0.709027	36.051020	7.730832	0.007239	1.9
186	-0.738552	37.047817	7.598078	0.004271	1.9
187	-0.737288	38.024314	7.472375	0.005504	1.9
188	-0.723381	38.791453	7.376503	0.007424	1.8
189	-0.713336	39.554676	7.283531	0.006103	1.8
190	-0.692049	38.989848	7.352108	0.005960	1.9
191	-0.725751	38.843466	7.370092	0.003904	1.9
192	-0.738986	38.765761	7.379674	0.003290	1.8
193	-0.728707	38.329799	7.433901	0.006776	1.9
194	-0.708523	39.288962	7.315632	0.007540	1.8
195	-0.728293	38.725030	7.384707	0.004407	1.8
196	-0.716787	38.295665	7.438180	0.006132	1.9
197	-0.720328	38.094601	7.463488	0.004852	1.9
198	-0.713711	37.567661	7.530638	0.003426	1.9
199	-0.724605	37.601262	7.526320	0.008351	1.8
200	-0.728703	38.191755	7.451238	0.002471	1.8
201	-0.715980	39.007106	7.349993	0.007677	1.8
202	-0.729793	38.794491	7.376128	0.009666	1.8
203	-0.752923	39.619043	7.275797	0.007048	1.8
204	-0.735343	40.619040	7.157720	0.004302	2.2
205	-0.694610	41.404221	7.067660	0.002750	1.8
206	-0.755199	41.064061	7.106397	0.004135	1.9
207	-0.688223	40.783899	7.138621	0.005095	1.9
208	-0.761085	41.268165	7.083103	0.006133	1.9
209	-0.726863	41.979496	7.003102	0.006384	2.1
210	-0.722229	41.458842	7.061480	0.011888	1.8
211	-0.725144	40.943470	7.120231	0.007703	1.8
212	-0.718756	40.382201	7.185338	0.004148	1.8
213	-0.731115	41.345022	7.074371	0.007054	1.7
214	-0.730535	40.819940	7.134459	0.004536	1.8
215	-0.728445	40.326607	7.191851	0.006439	1.8
216	-0.747849	41.158396	7.095612	0.009160	1.8
217	-0.725617	42.158388	6.983266	0.006256	1.7
218	-0.731255	41.895684	7.012434	0.010103	1.7
219	-0.706647	42.864665	6.906038	0.008774	1.7
220	-0.717099	43.864653	6.799571	0.007247	1.8
221	-0.709053	43.789473	6.807461	0.007983	1.9
222	-0.723242	43.226210	6.867163	0.004023	1.7
223	-0.729192	42.993521	6.892133	0.007354	1.7
224	-0.705920	42.457282	6.950374	0.008811	1.7
225	-0.732065	41.900642	7.011881	0.007590	1.7
226	-0.701384	41.403840	7.067703	0.004200	1.7
227	-0.721576	40.879465	7.127596	0.006784	2.3
228	-0.750868	41.871095	7.015177	0.007499	1.7
229	-0.751592	41.381743	7.070207	0.007776	1.7
230	-0.755438	41.258795	7.084169	0.008216	1.7
231	-0.752572	40.694075	7.149014	0.011794	1.6
232	-0.716207	40.129121	7.215085	0.008301	1.7
233	-0.710561	41.129121	7.098955	0.005952	1.6
234	-0.728684	40.564224	7.164093	0.008070	1.7
235	-0.695221	39.999292	7.230442	0.007862	1.6
236	-0.696354	39.469885	7.293744	0.002353	1.6
237	-0.727651	39.691487	7.267112	0.007980	1.6
238	-0.730870	39.830029	7.250561	0.006780	1.6
239	-0.756869	40.826820	7.133665	0.006488	1.7
240	-0.688856	40.262708	7.199353	0.013085	1.7
241	-0.741544	41.262075	7.083796	0.008055	1.7
242	-0.737334	42.262059	6.971822	0.006550	1.6
243	-0.709111	43.158772	6.874381	0.008716	1.6
244	-0.720528	43.963070	6.789270	0.008845	1.6
245	-0.723514	44.025618	6.782740	0.011784	1.6
246	-0.735113	43.460664	6.842186	0.007675	1.6
247	-0.735172	42.895945	6.902658	0.005534	1.6
248	-0.724062	42.335340	6.963756	0.004907	1.6
249	-0.742411	41.805880	7.022461	0.007519	1.7
