1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.362694	0.000000	34.207255	0.010971	31.9
1	-0.368615	0.000000	34.207255	0.009896	2.1
2	-0.391728	0.000000	34.207255	0.012147	2.0
3	-0.379225	0.000000	34.207255	0.009666	2.1
4	-0.399554	0.000000	34.207255	0.009945	2.1
5	-0.385500	0.000000	34.207255	0.010501	2.1
6	-0.377453	0.000000	34.207255	0.010798	2.2
7	-0.391337	0.000000	34.207255	0.009029	2.3
8	-0.380698	0.000000	34.207255	0.010898	2.3
9	-0.372000	0.000000	34.207255	0.013463	2.4
10	-0.394895	0.000000	34.207255	0.008568	2.3
11	-0.386743	0.000000	34.207255	0.012532	2.1
12	-0.412975	0.000000	34.207255	0.009911	2.1
13	-0.425333	0.000000	34.207255	0.012289	2.1
14	-0.407218	0.000000	34.207255	0.009971	2.1
15	-0.423877	0.000000	34.207255	0.008221	2.1
16	-0.442906	0.000000	34.207255	0.010184	2.0
17	-0.411056	0.000000	34.207255	0.012304	2.1
18	-0.448765	0.000000	34.207255	0.011160	2.1
19	-0.451584	0.000000	34.207255	0.012883	2.0
20	-0.446769	0.000000	34.207255	0.011088	2.1
21	-0.437263	0.000000	34.207255	0.012832	2.1
22	-0.458012	0.000000	34.207255	0.015954	2.1
23	-0.440351	0.000000	34.207255	0.009629	2.3
24	-0.473237	0.000000	34.207255	0.011015	2.2
25	-0.458937	0.000000	34.207255	0.012526	2.4
26	-0.467862	0.000000	34.207255	0.011665	2.3
27	-0.466188	0.000000	34.207255	0.013085	2.3
28	-0.485297	0.000000	34.207255	0.011795	2.2
29	-0.479978	0.000000	34.207255	0.010429	2.3
30	-0.480904	0.000000	34.207255	0.011547	2.4
31	-0.517145	0.000000	34.207255	0.012808	2.3
32	-0.478289	0.000000	34.207255	0.016068	2.3
33	-0.502050	0.000000	34.207255	0.011096	2.3
34	-0.491710	0.000000	34.207255	0.013815	2.3
35	-0.505965	0.000000	34.207255	0.010887	2.3
36	-0.502918	0.000000	34.207255	0.012093	2.3
37	-0.510493	0.000000	34.207255	0.012720	2.3
38	-0.515004	0.000000	34.207255	0.012335	2.4
39	-0.531917	0.000000	34.207255	0.011892	2.2
40	-0.536303	0.000000	34.207255	0.010407	2.1
41	-0.513102	0.000000	34.207255	0.012254	2.0
42	-0.568060	0.000000	34.207255	0.009170	1.8
43	-0.564665	0.000000	34.207255	0.015397	1.8
44	-0.556106	0.000000	34.207255	0.010159	1.7
45	-0.526526	0.000000	34.207255	0.013772	1.7
46	-0.586006	0.000000	34.207255	0.013336	1.8
47	-0.568075	0.000000	34.207255	0.015205	1.8
48	-0.611246	0.000000	34.207255	0.014729	1.8
49	-0.607109	0.000000	34.207255	0.016240	1.7
50	-0.575106	0.000000	34.207255	0.014486	1.8
51	-0.606606	0.000000	34.207255	0.016649	1.8
52	-0.632122	0.000000	34.207255	0.014691	1.8
53	-0.610744	0.000000	34.207255	0.014849	1.8
54	-0.657529	0.000000	34.207255	0.015276	1.7
55	-0.637032	0.000000	34.207255	0.017782	1.7
56	-0.624167	0.000000	34.207255	0.014707	1.8
57	-0.648904	0.000000	34.207255	0.019609	1.7
58	-0.629101	0.000000	34.207255	0.017950	1.7
59	-0.701085	0.000000	34.207255	0.016542	1.8
60	-0.699656	0.000000	34.207255	0.018922	1.8
61	-0.692071	0.000000	34.207255	0.021487	1.8
62	-0.683184	0.000000	34.207255	0.018862	1.7
63	-0.729729	0.000000	34.207255	0.020358	1.7
64	-0.729045	0.000000	34.207255	0.019787	1.8
65	-0.732609	0.000000	34.207255	0.019027	1.8
66	-0.728081	0.000000	34.207255	0.018925	1.8
67	-0.722910	0.000000	34.207255	0.016872	1.7
68	-0.762692	0.000000	34.207255	0.018556	1.7
69	-0.816398	0.000000	34.207255	0.018841	1.8
70	-0.801335	0.000000	34.207255	0.017957	1.8
71	-0.797393	0.000000	34.207255	0.013957	1.8
72	-0.818843	0.000000	34.207255	0.020573	1.8
73	-0.805297	0.000000	34.207255	0.015171	1.7
74	-0.843589	0.000000	34.207255	0.014822	1.8
75	-0.832523	0.000000	34.207255	0.016391	1.8
76	-0.853580	0.000000	34.207255	0.010710	1.8
77	-0.876128	0.000000	34.207255	0.012583	1.9
78	-0.832271	0.000000	34.207255	0.013482	1.8
79	-0.823825	0.000000	34.207255	0.012011	1.8
80	-0.865789	0.000000	34.207255	0.014203	1.8
81	-0.870754	0.000000	34.207255	0.011166	1.8
82	-0.893653	0.000000	34.207255	0.011679	1.8
83	-0.875424	0.000000	34.207255	0.010242	1.8
84	-0.884031	0.000000	34.207255	0.010208	1.8
85	-0.877576	0.000000	34.207255	0.007416	1.9
86	-0.880105	0.000000	34.207255	0.011484	1.8
87	-0.884263	0.000000	34.207255	0.004465	1.8
88	-0.914581	0.000000	34.207255	0.009882	1.8
89	-0.878000	0.000000	34.207255	0.008400	1.8
90	-0.881846	0.000000	34.207255	0.007039	1.8
91	-0.896511	0.000000	34.207255	0.008362	1.8
92	-0.890104	0.000000	34.207255	0.009154	1.8
93	-0.888088	0.000000	34.207255	0.009842	1.8
94	-0.914153	0.000000	34.207255	0.005337	1.8
95	-0.904874	0.000000	34.207255	0.003622	1.9
96	-0.877753	0.000000	34.207255	0.007198	1.9
97	-0.872625	0.430702	33.519778	0.004108	1.8
98	-0.880782	0.243790	33.814699	0.007391	1.8
99	-0.889724	0.644022	33.189411	0.007482	1.8
100	-0.880633	0.457224	33.478346	0.007498	1.8
101	-0.887630	0.270312	33.772535	0.007046	1.9
102	-0.900052	0.083400	34.071941	0.008168	1.8
103	-0.871578	0.000000	34.207255	0.005745	1.8
104	-0.880009	0.000000	34.207255	0.006505	1.8
105	-0.874907	0.000000	34.207255	0.007864	1.8
106	-0.932043	0.000000	34.207255	0.003793	1.9
107	-0.898508	0.999827	32.652637	0.003584	1.8
108	-0.903211	0.879109	32.832797	0.007906	1.9
109	-0.923219	0.692197	33.115703	0.004160	1.9
110	-0.907115	1.687950	31.662285	0.006621	1.9
111	-0.927461	1.501044	31.925290	0.004553	1.8
112	-0.861498	1.314132	32.192708	0.009160	2.0
113	-0.918605	1.140176	32.445648	0.004654	1.9
114	-0.893226	0.953264	32.721893	0.007906	1.8
115	-0.905769	0.775448	32.989096	0.010346	1.7
116	-0.918723	0.588568	33.274664	0.003465	1.7
117	-0.900631	0.404307	33.561112	0.005084	1.7
118	-0.906875	0.229927	33.836780	0.006666	1.7
119	-0.884511	0.043015	34.137330	0.006202	1.7
120	-0.917828	1.043015	32.588662	0.008121	1.7
121	-0.913585	0.856104	32.867356	0.007259	1.7
122	-0.892590	1.856104	31.429344	0.003467	1.7
123	-0.919236	1.682074	31.670489	0.001231	1.7
124	-0.914212	1.507091	31.916712	0.006373	1.7
125	-0.941873	2.341403	30.775886	0.004223	1.7
126	-0.919012	2.154491	31.024321	0.007802	1.6
127	-0.883644	3.154491	29.739909	0.008004	1.6
128	-0.924609	2.967579	29.971836	0.012519	1.6
129	-0.900608	3.967579	28.771406	0.008079	1.6
130	-0.920262	4.967579	27.663432	0.008276	1.5
131	-0.909507	5.967579	26.637629	0.005399	1.6
132	-0.912627	5.780819	26.823390	0.007293	1.6
133	-0.900764	5.593907	27.011915	0.005263	1.5
134	-0.912852	5.406995	27.203109	0.005790	1.6
135	-0.908075	6.370584	26.245416	0.004700	1.6
136	-0.925547	7.370583	25.320324	0.001213	1.5
137	-0.927740	7.504834	25.201071	0.003912	1.6
138	-0.896217	7.351462	25.337401	0.005084	1.6
139	-0.902130	7.164577	25.505526	0.005577	1.5
140	-0.936047	8.163297	24.632069	0.006198	1.5
141	-0.922316	7.978318	24.789305	0.003163	1.6
142	-0.916239	7.791407	24.950234	0.005176	1.6
143	-0.923440	8.790893	24.113153	0.002401	1.5
144	-0.909601	9.789046	23.331426	0.004836	1.6
145	-0.924221	10.727464	22.641342	0.006351	1.5
146	-0.920515	11.727464	21.949527	0.006529	1.5
147	-0.923860	11.540552	22.075604	0.004045	1.5
148	-0.930502	12.539490	21.418106	0.006881	1.5
149	-0.899454	12.352579	21.538135	0.004697	1.5
150	-0.908440	12.165667	21.659518	0.003361	1.5
151	-0.903790	11.978756	21.782276	0.006394	2.3
152	-0.914759	12.973672	21.144384	0.006937	1.5
153	-0.941220	13.973672	20.539804	0.004871	1.6
154	-0.906493	14.003221	20.522464	0.005586	1.4
155	-0.914357	15.003221	19.952447	0.007013	1.4
156	-0.902420	15.061980	19.919937	0.005661	1.5
157	-0.901272	16.061980	19.382460	0.003752	1.5
158	-0.948564	16.182650	19.319558	0.006766	1.5
159	-0.911159	15.995745	19.417161	0.008298	1.5
160	-0.910197	16.995745	18.906126	0.006737	1.4
161	-0.914623	16.808914	18.999550	0.006220	1.4
162	-0.940434	16.622002	19.093943	0.005061	1.5
163	-0.939345	17.531912	18.643050	0.004534	1.4
164	-0.910912	18.504201	18.184202	0.004630	1.5
165	-0.936505	18.379045	18.241995	0.003964	1.5
166	-0.899905	18.192133	18.328994	0.003890	1.5
167	-0.934432	18.005221	18.416826	0.004619	1.5
168	-0.915040	17.818344	18.505487	0.006036	1.4
169	-0.914139	18.817839	18.040968	0.002206	1.5
170	-0.919330	19.812544	17.601264	0.004069	1.5
171	-0.898848	19.627658	17.681363	0.004350	1.5
172	-0.905297	20.626638	17.257035	0.004510	1.5
173	-0.906336	20.439789	17.334846	0.003705	1.5
174	-0.903785	20.300530	17.393296	0.005454	1.5
175	-0.879677	20.114607	17.471950	0.003419	1.5
176	-0.911576	21.005215	17.101504	0.005484	1.5
177	-0.917778	20.818412	17.177897	0.004443	1.5
178	-0.909281	20.631500	17.255020	0.006304	1.5
179	-0.910374	21.631500	16.850271	0.003713	1.6
180	-0.916974	22.631499	16.464077	0.004708	1.5
181	-0.929987	23.631302	16.095259	0.004437	1.5
182	-0.905793	23.444402	16.162943	0.004341	1.5
183	-0.937681	23.257490	16.231204	0.005134	1.4
184	-0.926909	23.843018	16.019269	0.001571	1.4
185	-0.913800	24.497299	15.788901	0.008964	1.4
186	-0.895285	24.375432	15.831306	0.007073	1.5
187	-0.887829	25.375432	15.489934	0.003892	1.5
188	-0.908164	25.188520	15.552617	0.006046	1.5
189	-0.916544	26.188519	15.223032	0.004425	1.5
190	-0.934047	26.745718	15.045378	0.006051	1.4
191	-0.942363	27.745717	14.736728	0.007817	1.4
192	-0.920582	28.745117	14.440661	0.004457	1.5
193	-0.933598	29.745117	14.156088	0.005749	1.4
194	-0.909106	29.558206	14.208423	0.002192	1.5
195	-0.940902	29.420721	14.247165	0.004689	1.5
196	-0.900281	30.329023	13.995052	0.004435	1.4
197	-0.905490	30.144402	14.045572	0.006867	1.4
198	-0.896867	29.957551	14.097074	0.005964	1.4
199	-0.879489	30.957551	13.825755	0.004149	1.4
200	-0.932195	30.770640	13.875671	0.004749	1.4
201	-0.897855	30.585460	13.925481	0.006346	1.4
202	-0.935992	31.585460	13.660665	0.003013	1.5
203	-0.901874	32.095514	13.529436	0.007234	1.4
204	-0.920338	31.908602	13.577232	0.003720	1.4
205	-0.934942	31.898907	13.579720	0.002960	1.4
206	-0.908646	32.737477	13.367809	0.005676	1.4
207	-0.907922	33.548681	13.169014	0.004333	1.5
208	-0.914536	34.548663	12.931947	0.003267	1.4
209	-0.925723	34.513447	12.940150	0.003773	1.4
210	-0.934990	34.326541	12.983865	0.004295	1.5
211	-0.917020	35.326364	12.753395	0.008066	1.4
212	-0.907677	35.304944	12.758247	0.004785	1.4
213	-0.900733	36.304944	12.535609	0.002771	1.5
214	-0.922648	36.551181	12.481974	0.007822	1.5
215	-0.920688	36.520172	12.488703	0.006508	1.4
216	-0.915709	36.457266	12.502376	0.006983	1.5
217	-0.940740	37.457266	12.288504	0.003948	1.5
218	-0.922791	37.270354	12.327922	0.004433	1.4
219	-0.928135	37.083500	12.367580	0.004290	1.4
220	-0.943396	36.896591	12.407507	0.004498	1.4
221	-0.946352	36.709679	12.447693	0.006826	1.4
222	-0.909616	36.522768	12.488139	0.007085	1.4
223	-0.891372	36.368218	12.521783	0.005458	1.4
224	-0.894832	37.368218	12.307252	0.004991	1.4
225	-0.901406	37.181309	12.346789	0.010351	1.4
226	-0.894348	36.997064	12.386012	0.004836	1.4
227	-0.916765	36.810152	12.426059	0.006347	1.4
228	-0.928014	37.809758	12.214850	0.005725	1.4
229	-0.900516	38.468489	12.079546	0.007563	1.4
230	-0.911179	39.468489	11.879780	0.003319	1.4
231	-0.924694	40.468429	11.686525	0.003092	1.4
232	-0.906184	41.467906	11.499543	0.008132	1.4
233	-0.912281	41.280995	11.534054	0.005053	1.5
234	-0.931123	42.280995	11.351787	0.003663	1.4
235	-0.912706	42.094083	11.385416	0.006230	1.4
236	-0.939901	41.909582	11.418807	0.004025	1.3
237	-0.905161	42.909582	11.240135	0.008986	1.4
238	-0.930369	42.722670	11.273105	0.003516	1.4
239	-0.870583	43.722669	11.098930	0.008511	1.4
240	-0.938702	44.705872	10.932849	0.003140	1.4
241	-0.946192	45.705803	10.768963	0.003898	1.3
242	-0.912226	45.519130	10.799184	0.005803	1.4
243	-0.893963	45.379389	10.821919	0.004741	1.4
244	-0.907330	45.193698	10.852277	0.002571	1.3
245	-0.904086	45.007756	10.882848	0.005859	1.4
246	-0.894182	46.000262	10.721635	0.004308	1.4
